cut,variant,kind,ALL,BULL_VOLATILE,BEAR,BULL_CALM
1,BASE,real,0.1812575386967679,0.18066915144872683,0.3084979155094025,0.07090995590624276
1,BASE,placebo,0.1211568489484608,0.13442272741634284,0.22141898192569823,-0.0036876526428626676
1,BASE+FM,real,0.14314787479619784,0.15028050911005414,0.24703282876216234,0.03204304459990583
1,BASE+FM,placebo,0.14419009274790698,0.1520469960539045,0.25610181221881884,0.024022726488951283
1,FM_ONLY,real,0.10306136309797218,0.10953295890717342,0.19207592094753714,0.006866947756959596
1,FM_ONLY,placebo,0.07993455609722541,0.07661088441475081,0.19248298338624076,-0.009934726073478154
2,BASE,real,-0.03466610981527189,-0.08987163567919049,,0.020067573947245683
2,BASE,placebo,-0.027199072510796278,-0.0724213470858917,,0.01763668689699063
2,BASE+FM,real,-0.04160816042426219,-0.09347568486469744,,0.009816051841468476
2,BASE+FM,placebo,-0.02806468925120474,-0.08029128706093257,,0.023715527380662158
2,FM_ONLY,real,-0.022703713794991778,-0.05306907123015988,,0.0074021106706449605
2,FM_ONLY,placebo,-0.05617565596489535,-0.09930794973862189,,-0.013412014274704937
3,BASE,real,-0.0028732715211948483,-0.009235436346232214,0.14711793093708758,-0.03270383590862385
3,BASE,placebo,-0.013633401914131017,-0.02031881429940996,0.14491305046530542,-0.04731591096133899
3,BASE+FM,real,-0.0017893474811601516,-0.007138118786666345,0.12799570487316714,-0.03608113504326781
3,BASE+FM,placebo,-0.009187039449353967,-0.016545881394220422,0.15663100380328127,-0.02451497207193607
3,FM_ONLY,real,0.01181138713269834,0.008134553419725465,0.08554220092555573,0.026952581579333276
3,FM_ONLY,placebo,0.00734747227056928,0.004572849603367867,0.049896595545234665,0.05149794377958242
4,BASE,real,0.12572448599169042,0.1582549110823479,,0.09791621938193489
4,BASE,placebo,0.11142361469614216,0.1557963869165612,,0.07349205134642915
4,BASE+FM,real,0.1089764649810447,0.15413973172742554,,0.07036915631075139
4,BASE+FM,placebo,0.08757686050118334,0.11712453558164705,,0.06231836406143211
4,FM_ONLY,real,0.03060108236593233,0.04873580827918858,,0.015098816665890686
4,FM_ONLY,placebo,0.04109342215484028,0.05508526360938188,,0.029132654459828888
5,BASE,real,0.0029913649606923103,0.0506104949047804,,-0.025251705213042694
5,BASE,placebo,0.01163288178303395,0.07078461908838886,,-0.02345021758427997
5,BASE+FM,real,0.025433811868215975,0.05969328231558131,,0.005114401809778607
5,BASE+FM,placebo,0.024462664020394626,0.05599467814691426,,0.005760917710872638
5,FM_ONLY,real,0.059314156300686226,0.06566543024629985,,0.055547193822598144
5,FM_ONLY,placebo,0.027377020871493272,0.029410596230826976,,0.02617090031354363
6,BASE,real,0.10853445765046277,0.09306060996501386,0.44509887601551074,0.060358603047375704
6,BASE,placebo,0.06825327698375512,0.04213921788805522,0.3807431162645944,0.03086537279217333
6,BASE+FM,real,0.09721788564322223,0.08537329769785491,0.3990307631486795,0.052746664787826344
6,BASE+FM,placebo,0.11120806546354135,0.08431850383505377,0.3770035181790291,0.08233044804587164
6,FM_ONLY,real,0.026778763948242357,0.031026201865613872,0.07990660379017772,0.01499276777705252
6,FM_ONLY,placebo,0.044810059608686365,0.040494099592793174,0.10023888839086416,0.03798070467168282
