model,regime,alpha
raw,BULL_VOLATILE,0.45315753041813933
raw,BEAR,0.24654948430752605
raw,BULL_VOLATILE,0.2029917210929487
raw,BULL_VOLATILE,0.3678470653685391
trendscan,BULL_VOLATILE,0.5164891157569549
trendscan,BEAR,0.33633926614464693
trendscan,BULL_VOLATILE,0.5037960004223173
trendscan,BULL_VOLATILE,-0.05978265111530051
raw,BULL_VOLATILE,-0.15521085839397328
raw,BULL_CALM,0.19461920624462403
raw,BULL_CALM,0.21606768499378318
raw,BULL_VOLATILE,-0.47579752322720686
trendscan,BULL_VOLATILE,-0.17494423020696354
trendscan,BULL_CALM,0.17723212931448337
trendscan,BULL_CALM,-0.08846941432726002
trendscan,BULL_VOLATILE,-0.35975597123950737
raw,BULL_VOLATILE,-0.41219076019639106
raw,BULL_VOLATILE,-0.18885992707700527
raw,BULL_VOLATILE,-0.09407424580490113
raw,BULL_VOLATILE,-0.1667725733434965
trendscan,BULL_VOLATILE,-0.3269231100125227
trendscan,BULL_VOLATILE,-0.18725710416201807
trendscan,BULL_VOLATILE,-0.06984875712312454
trendscan,BULL_VOLATILE,0.014914832091725089
raw,BULL_VOLATILE,-0.21278052688188312
raw,BULL_CALM,0.4893704327238559
raw,BULL_CALM,0.01837004283992618
raw,BULL_CALM,0.2922570189473583
trendscan,BULL_VOLATILE,0.05292388188934259
trendscan,BULL_CALM,0.11246129050182081
trendscan,BULL_CALM,0.0014326880956144188
trendscan,BULL_CALM,0.2651324845114602
raw,BULL_CALM,-0.06178179966190623
raw,BULL_CALM,-0.10561230010567146
raw,BULL_VOLATILE,0.11240202251321238
raw,BULL_CALM,0.31608007980406144
trendscan,BULL_CALM,0.07638721187880973
trendscan,BULL_CALM,0.04699370468882003
trendscan,BULL_VOLATILE,0.040240488635260745
trendscan,BULL_CALM,0.17452328138802475
raw,BULL_VOLATILE,-0.17338002597726038
raw,BEAR,0.466574683693875
raw,BULL_CALM,0.1985318648274002
raw,BULL_CALM,0.05996045280787371
trendscan,BULL_VOLATILE,-0.05734402434665214
trendscan,BEAR,0.23768848520013114
trendscan,BULL_CALM,0.18834346642312808
trendscan,BULL_CALM,0.1822549249705098
